accident_year,speed_limit,road_surface_conditions,weather_conditions,urban_or_rural_area,accident_severity,accident_count
2023,20,Wet/Damp,Raining without high winds,Urban,Fatal,5
2014,30,Wet/Damp,Raining without high winds,Rural,Fatal,4
2014,30,Wet/Damp,Raining without high winds,Urban,Fatal,5
2015,30,Wet/Damp,Raining without high winds,Rural,Fatal,5
2015,30,Wet/Damp,Raining without high winds,Urban,Fatal,7
2016,30,Wet/Damp,Raining without high winds,Rural,Fatal,5
2016,30,Wet/Damp,Raining without high winds,Urban,Fatal,5
2017,30,Wet/Damp,Raining without high winds,Rural,Fatal,10
2017,30,Wet/Damp,Raining without high winds,Urban,Fatal,11
2018,30,Wet/Damp,Raining without high winds,Rural,Fatal,8
2018,30,Wet/Damp,Raining without high winds,Urban,Fatal,10
2019,30,Wet/Damp,Raining without high winds,Rural,Fatal,6
2019,30,Wet/Damp,Raining without high winds,Urban,Fatal,7
2020,30,Wet/Damp,Raining without high winds,Rural,Fatal,4
2020,30,Wet/Damp,Raining without high winds,Urban,Fatal,7
2021,30,Wet/Damp,Raining without high winds,Rural,Fatal,2
2021,30,Wet/Damp,Raining without high winds,Urban,Fatal,3
2022,30,Wet/Damp,Raining without high winds,Rural,Fatal,2
2022,30,Wet/Damp,Raining without high winds,Urban,Fatal,4
2023,30,Wet/Damp,Raining without high winds,Rural,Fatal,5
2023,30,Wet/Damp,Raining without high winds,Urban,Fatal,5
2015,40,Wet/Damp,Raining without high winds,Rural,Fatal,4
2015,40,Wet/Damp,Raining without high winds,Urban,Fatal,4
2016,40,Wet/Damp,Raining without high winds,Rural,Fatal,1
2016,40,Wet/Damp,Raining without high winds,Urban,Fatal,1
2018,40,Wet/Damp,Raining without high winds,Rural,Fatal,1
2018,40,Wet/Damp,Raining without high winds,Urban,Fatal,1
2019,40,Wet/Damp,Raining without high winds,Rural,Fatal,1
2019,40,Wet/Damp,Raining without high winds,Urban,Fatal,2
2021,40,Wet/Damp,Raining without high winds,Rural,Fatal,1
2021,40,Wet/Damp,Raining without high winds,Urban,Fatal,1
2016,50,Wet/Damp,Raining without high winds,Rural,Fatal,1
2016,50,Wet/Damp,Raining without high winds,Urban,Fatal,1
2020,50,Wet/Damp,Raining without high winds,Rural,Fatal,1
2020,50,Wet/Damp,Raining without high winds,Urban,Fatal,1
2021,50,Wet/Damp,Raining without high winds,Rural,Fatal,1
2021,50,Wet/Damp,Raining without high winds,Urban,Fatal,1
2020,70,Wet/Damp,Raining without high winds,Rural,Fatal,1
2020,70,Wet/Damp,Raining without high winds,Urban,Fatal,1
2022,70,Wet/Damp,Raining without high winds,Rural,Fatal,3
2022,70,Wet/Damp,Raining without high winds,Urban,Fatal,3
2023,70,Wet/Damp,Raining without high winds,Rural,Fatal,1
2023,70,Wet/Damp,Raining without high winds,Urban,Fatal,1
2017,30,Wet/Damp,Snowing without high winds,Rural,Fatal,1
2017,30,Wet/Damp,Snowing without high winds,Urban,Fatal,1
2018,30,Wet/Damp,Unknown,Urban,Fatal,1
