accident_year,speed_limit,road_surface_conditions,weather_conditions,urban_or_rural_area,accident_severity,accident_count
2020,40,Wet/Damp,Fine without high winds,Urban,Serious,18
2021,40,Wet/Damp,Fine without high winds,Rural,Serious,14
2021,40,Wet/Damp,Fine without high winds,Urban,Serious,16
2022,40,Wet/Damp,Fine without high winds,Rural,Serious,8
2022,40,Wet/Damp,Fine without high winds,Urban,Serious,11
2023,40,Wet/Damp,Fine without high winds,Rural,Serious,4
2023,40,Wet/Damp,Fine without high winds,Urban,Serious,5
2014,50,Wet/Damp,Fine without high winds,Rural,Serious,4
2014,50,Wet/Damp,Fine without high winds,Urban,Serious,4
2015,50,Wet/Damp,Fine without high winds,Rural,Serious,3
2015,50,Wet/Damp,Fine without high winds,Urban,Serious,3
2016,50,Wet/Damp,Fine without high winds,Urban,Serious,2
2017,50,Wet/Damp,Fine without high winds,Rural,Serious,2
2017,50,Wet/Damp,Fine without high winds,Urban,Serious,2
2018,50,Wet/Damp,Fine without high winds,Rural,Serious,4
2018,50,Wet/Damp,Fine without high winds,Urban,Serious,4
2019,50,Wet/Damp,Fine without high winds,Rural,Serious,5
2019,50,Wet/Damp,Fine without high winds,Urban,Serious,7
2020,50,Wet/Damp,Fine without high winds,Rural,Serious,2
2020,50,Wet/Damp,Fine without high winds,Urban,Serious,4
2021,50,Wet/Damp,Fine without high winds,Rural,Serious,6
2021,50,Wet/Damp,Fine without high winds,Urban,Serious,6
2022,50,Wet/Damp,Fine without high winds,Rural,Serious,11
2022,50,Wet/Damp,Fine without high winds,Urban,Serious,11
2023,50,Wet/Damp,Fine without high winds,Rural,Serious,15
2023,50,Wet/Damp,Fine without high winds,Urban,Serious,15
2015,60,Wet/Damp,Fine without high winds,Rural,Serious,1
2015,60,Wet/Damp,Fine without high winds,Urban,Serious,1
2016,60,Wet/Damp,Fine without high winds,Rural,Serious,2
2016,60,Wet/Damp,Fine without high winds,Urban,Serious,2
2018,60,Wet/Damp,Fine without high winds,Rural,Serious,1
2018,60,Wet/Damp,Fine without high winds,Urban,Serious,1
2019,60,Wet/Damp,Fine without high winds,Rural,Serious,1
2019,60,Wet/Damp,Fine without high winds,Urban,Serious,1
2020,60,Wet/Damp,Fine without high winds,Rural,Serious,3
2020,60,Wet/Damp,Fine without high winds,Urban,Serious,3
2023,60,Wet/Damp,Fine without high winds,Rural,Serious,2
2023,60,Wet/Damp,Fine without high winds,Urban,Serious,2
2016,70,Wet/Damp,Fine without high winds,Rural,Serious,2
2016,70,Wet/Damp,Fine without high winds,Urban,Serious,2
2018,70,Wet/Damp,Fine without high winds,Rural,Serious,4
2018,70,Wet/Damp,Fine without high winds,Urban,Serious,4
2019,70,Wet/Damp,Fine without high winds,Rural,Serious,5
2019,70,Wet/Damp,Fine without high winds,Urban,Serious,5
2021,70,Wet/Damp,Fine without high winds,Rural,Serious,7
2021,70,Wet/Damp,Fine without high winds,Urban,Serious,7
2023,70,Wet/Damp,Fine without high winds,Rural,Serious,4
2023,70,Wet/Damp,Fine without high winds,Urban,Serious,4
2016,20,Wet/Damp,Fog or mist - if hazard,Rural,Serious,1
2016,20,Wet/Damp,Fog or mist - if hazard,Urban,Serious,1
2018,20,Wet/Damp,Fog or mist - if hazard,Urban,Serious,1
2020,20,Wet/Damp,Fog or mist - if hazard,Rural,Serious,1
2020,20,Wet/Damp,Fog or mist - if hazard,Urban,Serious,2
2021,20,Wet/Damp,Fog or mist - if hazard,Rural,Serious,2
2021,20,Wet/Damp,Fog or mist - if hazard,Urban,Serious,2
2022,20,Wet/Damp,Fog or mist - if hazard,Rural,Serious,1
2022,20,Wet/Damp,Fog or mist - if hazard,Urban,Serious,1
2023,20,Wet/Damp,Fog or mist - if hazard,Rural,Serious,1
2023,20,Wet/Damp,Fog or mist - if hazard,Urban,Serious,1
2015,30,Wet/Damp,Fog or mist - if hazard,Rural,Serious,1
2015,30,Wet/Damp,Fog or mist - if hazard,Urban,Serious,2
2016,30,Wet/Damp,Fog or mist - if hazard,Rural,Serious,3
2016,30,Wet/Damp,Fog or mist - if hazard,Urban,Serious,3
2019,30,Wet/Damp,Fog or mist - if hazard,Rural,Serious,3
2019,30,Wet/Damp,Fog or mist - if hazard,Urban,Serious,3
2020,30,Wet/Damp,Fog or mist - if hazard,Rural,Serious,3
2020,30,Wet/Damp,Fog or mist - if hazard,Urban,Serious,3
2021,30,Wet/Damp,Fog or mist - if hazard,Rural,Serious,1
2021,30,Wet/Damp,Fog or mist - if hazard,Urban,Serious,1
2022,30,Wet/Damp,Fog or mist - if hazard,Rural,Serious,1
2022,30,Wet/Damp,Fog or mist - if hazard,Urban,Serious,1
2021,40,Wet/Damp,Fog or mist - if hazard,Rural,Serious,1
2021,40,Wet/Damp,Fog or mist - if hazard,Urban,Serious,1
2015,20,Wet/Damp,Other,Rural,Serious,1
2015,20,Wet/Damp,Other,Urban,Serious,1
2016,20,Wet/Damp,Other,Rural,Serious,3
2016,20,Wet/Damp,Other,Urban,Serious,4
2017,20,Wet/Damp,Other,Rural,Serious,5
2017,20,Wet/Damp,Other,Urban,Serious,7
2018,20,Wet/Damp,Other,Rural,Serious,6
2018,20,Wet/Damp,Other,Urban,Serious,6
2019,20,Wet/Damp,Other,Rural,Serious,7
2019,20,Wet/Damp,Other,Urban,Serious,13
2020,20,Wet/Damp,Other,Rural,Serious,14
2020,20,Wet/Damp,Other,Urban,Serious,14
2021,20,Wet/Damp,Other,Rural,Serious,16
2021,20,Wet/Damp,Other,Urban,Serious,24
2022,20,Wet/Damp,Other,Rural,Serious,18
2022,20,Wet/Damp,Other,Urban,Serious,22
2023,20,Wet/Damp,Other,Rural,Serious,13
2023,20,Wet/Damp,Other,Urban,Serious,17
2014,30,Wet/Damp,Other,Rural,Serious,11
2014,30,Wet/Damp,Other,Urban,Serious,13
2015,30,Wet/Damp,Other,Rural,Serious,5
2015,30,Wet/Damp,Other,Urban,Serious,5
2016,30,Wet/Damp,Other,Rural,Serious,13
2016,30,Wet/Damp,Other,Urban,Serious,15
2017,30,Wet/Damp,Other,Rural,Serious,31
2017,30,Wet/Damp,Other,Urban,Serious,35
2018,30,Wet/Damp,Other,Rural,Serious,26
2018,30,Wet/Damp,Other,Urban,Serious,35
2019,30,Wet/Damp,Other,Rural,Serious,15
2019,30,Wet/Damp,Other,Urban,Serious,19
2020,30,Wet/Damp,Other,Rural,Serious,12
2020,30,Wet/Damp,Other,Urban,Serious,13
2021,30,Wet/Damp,Other,Rural,Serious,26
2021,30,Wet/Damp,Other,Urban,Serious,30
2022,30,Wet/Damp,Other,Rural,Serious,16
2022,30,Wet/Damp,Other,Urban,Serious,18
2023,30,Wet/Damp,Other,Rural,Serious,22
2023,30,Wet/Damp,Other,Urban,Serious,22
2015,40,Wet/Damp,Other,Rural,Serious,1
2015,40,Wet/Damp,Other,Urban,Serious,1
2016,40,Wet/Damp,Other,Rural,Serious,1
2016,40,Wet/Damp,Other,Urban,Serious,1
2017,40,Wet/Damp,Other,Rural,Serious,3
2017,40,Wet/Damp,Other,Urban,Serious,3
2018,40,Wet/Damp,Other,Rural,Serious,2
2018,40,Wet/Damp,Other,Urban,Serious,2
2022,40,Wet/Damp,Other,Rural,Serious,2
2022,40,Wet/Damp,Other,Urban,Serious,2
2023,40,Wet/Damp,Other,Rural,Serious,2
2023,40,Wet/Damp,Other,Urban,Serious,2
2016,50,Wet/Damp,Other,Rural,Serious,2
2016,50,Wet/Damp,Other,Urban,Serious,2
2017,50,Wet/Damp,Other,Rural,Serious,2
2017,50,Wet/Damp,Other,Urban,Serious,2
2018,50,Wet/Damp,Other,Rural,Serious,3
2018,50,Wet/Damp,Other,Urban,Serious,5
2019,50,Wet/Damp,Other,Rural,Serious,1
2019,50,Wet/Damp,Other,Urban,Serious,1
2021,50,Wet/Damp,Other,Rural,Serious,1
2021,50,Wet/Damp,Other,Urban,Serious,1
2023,50,Wet/Damp,Other,Urban,Serious,1
2016,70,Wet/Damp,Other,Rural,Serious,3
2016,70,Wet/Damp,Other,Urban,Serious,3
2023,70,Wet/Damp,Other,Rural,Serious,2
2023,70,Wet/Damp,Other,Urban,Serious,2
2016,20,Wet/Damp,Raining with high winds,Urban,Serious,2
2017,20,Wet/Damp,Raining with high winds,Rural,Serious,3
2017,20,Wet/Damp,Raining with high winds,Urban,Serious,5
2018,20,Wet/Damp,Raining with high winds,Rural,Serious,1
2018,20,Wet/Damp,Raining with high winds,Urban,Serious,2
2019,20,Wet/Damp,Raining with high winds,Rural,Serious,1
2019,20,Wet/Damp,Raining with high winds,Urban,Serious,4
2020,20,Wet/Damp,Raining with high winds,Rural,Serious,3
2020,20,Wet/Damp,Raining with high winds,Urban,Serious,9
2021,20,Wet/Damp,Raining with high winds,Rural,Serious,8
2021,20,Wet/Damp,Raining with high winds,Urban,Serious,10
2022,20,Wet/Damp,Raining with high winds,Rural,Serious,5
2022,20,Wet/Damp,Raining with high winds,Urban,Serious,9
2023,20,Wet/Damp,Raining with high winds,Rural,Serious,6
2023,20,Wet/Damp,Raining with high winds,Urban,Serious,10
2014,30,Wet/Damp,Raining with high winds,Rural,Serious,7
2014,30,Wet/Damp,Raining with high winds,Urban,Serious,10
2015,30,Wet/Damp,Raining with high winds,Rural,Serious,7
2015,30,Wet/Damp,Raining with high winds,Urban,Serious,7
2016,30,Wet/Damp,Raining with high winds,Rural,Serious,14
2016,30,Wet/Damp,Raining with high winds,Urban,Serious,14
2017,30,Wet/Damp,Raining with high winds,Rural,Serious,2
2017,30,Wet/Damp,Raining with high winds,Urban,Serious,3
2018,30,Wet/Damp,Raining with high winds,Rural,Serious,3
2018,30,Wet/Damp,Raining with high winds,Urban,Serious,3
2019,30,Wet/Damp,Raining with high winds,Rural,Serious,14
2019,30,Wet/Damp,Raining with high winds,Urban,Serious,17
2020,30,Wet/Damp,Raining with high winds,Rural,Serious,14
2020,30,Wet/Damp,Raining with high winds,Urban,Serious,14
2021,30,Wet/Damp,Raining with high winds,Rural,Serious,12
2021,30,Wet/Damp,Raining with high winds,Urban,Serious,13
2022,30,Wet/Damp,Raining with high winds,Rural,Serious,1
2022,30,Wet/Damp,Raining with high winds,Urban,Serious,2
2023,30,Wet/Damp,Raining with high winds,Rural,Serious,4
2023,30,Wet/Damp,Raining with high winds,Urban,Serious,5
2015,40,Wet/Damp,Raining with high winds,Rural,Serious,1
2015,40,Wet/Damp,Raining with high winds,Urban,Serious,1
2017,40,Wet/Damp,Raining with high winds,Rural,Serious,2
2017,40,Wet/Damp,Raining with high winds,Urban,Serious,2
2020,40,Wet/Damp,Raining with high winds,Rural,Serious,5
2020,40,Wet/Damp,Raining with high winds,Urban,Serious,5
2021,40,Wet/Damp,Raining with high winds,Rural,Serious,1
2021,40,Wet/Damp,Raining with high winds,Urban,Serious,1
2023,40,Wet/Damp,Raining with high winds,Rural,Serious,1
2023,40,Wet/Damp,Raining with high winds,Urban,Serious,1
2019,50,Wet/Damp,Raining with high winds,Rural,Serious,1
2019,50,Wet/Damp,Raining with high winds,Urban,Serious,1
2020,50,Wet/Damp,Raining with high winds,Rural,Serious,1
2020,50,Wet/Damp,Raining with high winds,Urban,Serious,1
2014,20,Wet/Damp,Raining without high winds,Rural,Serious,3
2014,20,Wet/Damp,Raining without high winds,Urban,Serious,5
2015,20,Wet/Damp,Raining without high winds,Rural,Serious,7
2015,20,Wet/Damp,Raining without high winds,Urban,Serious,8
2016,20,Wet/Damp,Raining without high winds,Rural,Serious,10
2016,20,Wet/Damp,Raining without high winds,Urban,Serious,20
2017,20,Wet/Damp,Raining without high winds,Rural,Serious,38
2017,20,Wet/Damp,Raining without high winds,Urban,Serious,53
2018,20,Wet/Damp,Raining without high winds,Rural,Serious,60
2018,20,Wet/Damp,Raining without high winds,Urban,Serious,86
2019,20,Wet/Damp,Raining without high winds,Rural,Serious,79
2019,20,Wet/Damp,Raining without high winds,Urban,Serious,99
2020,20,Wet/Damp,Raining without high winds,Rural,Serious,66
2020,20,Wet/Damp,Raining without high winds,Urban,Serious,102
2021,20,Wet/Damp,Raining without high winds,Rural,Serious,96
2021,20,Wet/Damp,Raining without high winds,Urban,Serious,129
2022,20,Wet/Damp,Raining without high winds,Rural,Serious,121
2022,20,Wet/Damp,Raining without high winds,Urban,Serious,149
2023,20,Wet/Damp,Raining without high winds,Rural,Serious,133
2023,20,Wet/Damp,Raining without high winds,Urban,Serious,171
2014,30,Wet/Damp,Raining without high winds,Rural,Serious,113
2014,30,Wet/Damp,Raining without high winds,Urban,Serious,144
2015,30,Wet/Damp,Raining without high winds,Rural,Serious,78
2015,30,Wet/Damp,Raining without high winds,Urban,Serious,108
2016,30,Wet/Damp,Raining without high winds,Rural,Serious,134
2016,30,Wet/Damp,Raining without high winds,Urban,Serious,157
2017,30,Wet/Damp,Raining without high winds,Rural,Serious,208
2017,30,Wet/Damp,Raining without high winds,Urban,Serious,269
2018,30,Wet/Damp,Raining without high winds,Rural,Serious,229
2018,30,Wet/Damp,Raining without high winds,Urban,Serious,273
2019,30,Wet/Damp,Raining without high winds,Rural,Serious,238
2019,30,Wet/Damp,Raining without high winds,Urban,Serious,268
2020,30,Wet/Damp,Raining without high winds,Rural,Serious,153
2020,30,Wet/Damp,Raining without high winds,Urban,Serious,177
2021,30,Wet/Damp,Raining without high winds,Rural,Serious,102
2021,30,Wet/Damp,Raining without high winds,Urban,Serious,114
2022,30,Wet/Damp,Raining without high winds,Rural,Serious,126
2022,30,Wet/Damp,Raining without high winds,Urban,Serious,141
2023,30,Wet/Damp,Raining without high winds,Rural,Serious,130
2023,30,Wet/Damp,Raining without high winds,Urban,Serious,146
2014,40,Wet/Damp,Raining without high winds,Rural,Serious,19
2014,40,Wet/Damp,Raining without high winds,Urban,Serious,19
2015,40,Wet/Damp,Raining without high winds,Rural,Serious,3
2015,40,Wet/Damp,Raining without high winds,Urban,Serious,3
2016,40,Wet/Damp,Raining without high winds,Rural,Serious,7
2016,40,Wet/Damp,Raining without high winds,Urban,Serious,7
2017,40,Wet/Damp,Raining without high winds,Rural,Serious,12
2017,40,Wet/Damp,Raining without high winds,Urban,Serious,14
2018,40,Wet/Damp,Raining without high winds,Rural,Serious,12
2018,40,Wet/Damp,Raining without high winds,Urban,Serious,18
2019,40,Wet/Damp,Raining without high winds,Rural,Serious,15
2019,40,Wet/Damp,Raining without high winds,Urban,Serious,15
2020,40,Wet/Damp,Raining without high winds,Rural,Serious,6
2020,40,Wet/Damp,Raining without high winds,Urban,Serious,9
2021,40,Wet/Damp,Raining without high winds,Rural,Serious,4
2021,40,Wet/Damp,Raining without high winds,Urban,Serious,5
2022,40,Wet/Damp,Raining without high winds,Rural,Serious,8
2022,40,Wet/Damp,Raining without high winds,Urban,Serious,10
2023,40,Wet/Damp,Raining without high winds,Rural,Serious,16
2023,40,Wet/Damp,Raining without high winds,Urban,Serious,16
2014,50,Wet/Damp,Raining without high winds,Rural,Serious,3
2014,50,Wet/Damp,Raining without high winds,Urban,Serious,4
2015,50,Wet/Damp,Raining without high winds,Rural,Serious,1
2015,50,Wet/Damp,Raining without high winds,Urban,Serious,1
2016,50,Wet/Damp,Raining without high winds,Rural,Serious,5
2016,50,Wet/Damp,Raining without high winds,Urban,Serious,6
2017,50,Wet/Damp,Raining without high winds,Rural,Serious,6
2017,50,Wet/Damp,Raining without high winds,Urban,Serious,7
2018,50,Wet/Damp,Raining without high winds,Rural,Serious,8
2018,50,Wet/Damp,Raining without high winds,Urban,Serious,9
2019,50,Wet/Damp,Raining without high winds,Rural,Serious,10
2019,50,Wet/Damp,Raining without high winds,Urban,Serious,11
2021,50,Wet/Damp,Raining without high winds,Rural,Serious,8
2021,50,Wet/Damp,Raining without high winds,Urban,Serious,8
2022,50,Wet/Damp,Raining without high winds,Rural,Serious,9
2022,50,Wet/Damp,Raining without high winds,Urban,Serious,9
2023,50,Wet/Damp,Raining without high winds,Rural,Serious,12
2023,50,Wet/Damp,Raining without high winds,Urban,Serious,12
2018,60,Wet/Damp,Raining without high winds,Rural,Serious,2
2018,60,Wet/Damp,Raining without high winds,Urban,Serious,2
2020,60,Wet/Damp,Raining without high winds,Rural,Serious,1
2020,60,Wet/Damp,Raining without high winds,Urban,Serious,1
2017,70,Wet/Damp,Raining without high winds,Rural,Serious,2
2017,70,Wet/Damp,Raining without high winds,Urban,Serious,2
2018,70,Wet/Damp,Raining without high winds,Rural,Serious,2
2018,70,Wet/Damp,Raining without high winds,Urban,Serious,2
2019,70,Wet/Damp,Raining without high winds,Rural,Serious,3
2019,70,Wet/Damp,Raining without high winds,Urban,Serious,3
2020,70,Wet/Damp,Raining without high winds,Rural,Serious,1
2020,70,Wet/Damp,Raining without high winds,Urban,Serious,1
2021,70,Wet/Damp,Raining without high winds,Rural,Serious,1
2021,70,Wet/Damp,Raining without high winds,Urban,Serious,1
2023,70,Wet/Damp,Raining without high winds,Rural,Serious,1
2023,70,Wet/Damp,Raining without high winds,Urban,Serious,1
2018,40,Wet/Damp,Snowing with high winds,Rural,Serious,1
2018,40,Wet/Damp,Snowing with high winds,Urban,Serious,1
2017,20,Wet/Damp,Snowing without high winds,Urban,Serious,1
2018,20,Wet/Damp,Snowing without high winds,Urban,Serious,2
2019,20,Wet/Damp,Snowing without high winds,Rural,Serious,2
2019,20,Wet/Damp,Snowing without high winds,Urban,Serious,3
2021,20,Wet/Damp,Snowing without high winds,Rural,Serious,4
2021,20,Wet/Damp,Snowing without high winds,Urban,Serious,4
2023,20,Wet/Damp,Snowing without high winds,Rural,Serious,2
2023,20,Wet/Damp,Snowing without high winds,Urban,Serious,2
2016,30,Wet/Damp,Snowing without high winds,Rural,Serious,2
2016,30,Wet/Damp,Snowing without high winds,Urban,Serious,2
2017,30,Wet/Damp,Snowing without high winds,Rural,Serious,3
2017,30,Wet/Damp,Snowing without high winds,Urban,Serious,5
2018,30,Wet/Damp,Snowing without high winds,Rural,Serious,2
2018,30,Wet/Damp,Snowing without high winds,Urban,Serious,3
2019,30,Wet/Damp,Snowing without high winds,Rural,Serious,1
2019,30,Wet/Damp,Snowing without high winds,Urban,Serious,1
2021,30,Wet/Damp,Snowing without high winds,Rural,Serious,2
2021,30,Wet/Damp,Snowing without high winds,Urban,Serious,2
2022,30,Wet/Damp,Snowing without high winds,Rural,Serious,1
2022,30,Wet/Damp,Snowing without high winds,Urban,Serious,1
2022,40,Wet/Damp,Snowing without high winds,Rural,Serious,1
2022,40,Wet/Damp,Snowing without high winds,Urban,Serious,1
2017,70,Wet/Damp,Snowing without high winds,Rural,Serious,1
2017,70,Wet/Damp,Snowing without high winds,Urban,Serious,1
2018,70,Wet/Damp,Snowing without high winds,Rural,Serious,3
2018,70,Wet/Damp,Snowing without high winds,Urban,Serious,3
2016,20,Wet/Damp,Unknown,Rural,Serious,1
2016,20,Wet/Damp,Unknown,Urban,Serious,1
2017,20,Wet/Damp,Unknown,Urban,Serious,2
2019,20,Wet/Damp,Unknown,Rural,Serious,1
2019,20,Wet/Damp,Unknown,Urban,Serious,2
2020,20,Wet/Damp,Unknown,Rural,Serious,4
2020,20,Wet/Damp,Unknown,Urban,Serious,4
2021,20,Wet/Damp,Unknown,Rural,Serious,1
2021,20,Wet/Damp,Unknown,Urban,Serious,4
2022,20,Wet/Damp,Unknown,Rural,Serious,2
2022,20,Wet/Damp,Unknown,Urban,Serious,5
2023,20,Wet/Damp,Unknown,Rural,Serious,6
2023,20,Wet/Damp,Unknown,Urban,Serious,6
2014,30,Wet/Damp,Unknown,Rural,Serious,2
2014,30,Wet/Damp,Unknown,Urban,Serious,3
2015,30,Wet/Damp,Unknown,Rural,Serious,2
2015,30,Wet/Damp,Unknown,Urban,Serious,5
2016,30,Wet/Damp,Unknown,Rural,Serious,10
2016,30,Wet/Damp,Unknown,Urban,Serious,12
2017,30,Wet/Damp,Unknown,Rural,Serious,12
2017,30,Wet/Damp,Unknown,Urban,Serious,13
2018,30,Wet/Damp,Unknown,Rural,Serious,7
2018,30,Wet/Damp,Unknown,Urban,Serious,7
2019,30,Wet/Damp,Unknown,Rural,Serious,5
2019,30,Wet/Damp,Unknown,Urban,Serious,5
2020,30,Wet/Damp,Unknown,Rural,Serious,2
2020,30,Wet/Damp,Unknown,Urban,Serious,2
2021,30,Wet/Damp,Unknown,Rural,Serious,9
2021,30,Wet/Damp,Unknown,Urban,Serious,9
2022,30,Wet/Damp,Unknown,Rural,Serious,6
2022,30,Wet/Damp,Unknown,Urban,Serious,6
2023,30,Wet/Damp,Unknown,Rural,Serious,3
2023,30,Wet/Damp,Unknown,Urban,Serious,4
2016,40,Wet/Damp,Unknown,Rural,Serious,2
2016,40,Wet/Damp,Unknown,Urban,Serious,2
2017,40,Wet/Damp,Unknown,Rural,Serious,1
2017,40,Wet/Damp,Unknown,Urban,Serious,1
2018,40,Wet/Damp,Unknown,Rural,Serious,1
2018,40,Wet/Damp,Unknown,Urban,Serious,1
2021,40,Wet/Damp,Unknown,Rural,Serious,2
2021,40,Wet/Damp,Unknown,Urban,Serious,2
2023,50,Wet/Damp,Unknown,Rural,Serious,6
2023,50,Wet/Damp,Unknown,Urban,Serious,6
2014,20,Dry,Fine with high winds,Urban,Slight,3
2016,20,Dry,Fine with high winds,Rural,Slight,5
2016,20,Dry,Fine with high winds,Urban,Slight,8
2017,20,Dry,Fine with high winds,Rural,Slight,16
2017,20,Dry,Fine with high winds,Urban,Slight,23
2018,20,Dry,Fine with high winds,Rural,Slight,16
2018,20,Dry,Fine with high winds,Urban,Slight,25
2019,20,Dry,Fine with high winds,Rural,Slight,25
2019,20,Dry,Fine with high winds,Urban,Slight,40
2020,20,Dry,Fine with high winds,Rural,Slight,23
2020,20,Dry,Fine with high winds,Urban,Slight,42
2021,20,Dry,Fine with high winds,Rural,Slight,30
2021,20,Dry,Fine with high winds,Urban,Slight,51
2022,20,Dry,Fine with high winds,Rural,Slight,30
2022,20,Dry,Fine with high winds,Urban,Slight,43
2023,20,Dry,Fine with high winds,Rural,Slight,36
2023,20,Dry,Fine with high winds,Urban,Slight,47
2014,30,Dry,Fine with high winds,Rural,Slight,40
2014,30,Dry,Fine with high winds,Urban,Slight,53
2015,30,Dry,Fine with high winds,Rural,Slight,75
2015,30,Dry,Fine with high winds,Urban,Slight,95
2016,30,Dry,Fine with high winds,Rural,Slight,46
2016,30,Dry,Fine with high winds,Urban,Slight,55
2017,30,Dry,Fine with high winds,Rural,Slight,94
2017,30,Dry,Fine with high winds,Urban,Slight,109
2018,30,Dry,Fine with high winds,Rural,Slight,60
2018,30,Dry,Fine with high winds,Urban,Slight,80
2019,30,Dry,Fine with high winds,Rural,Slight,83
2019,30,Dry,Fine with high winds,Urban,Slight,100
2020,30,Dry,Fine with high winds,Rural,Slight,80
2020,30,Dry,Fine with high winds,Urban,Slight,88
2021,30,Dry,Fine with high winds,Rural,Slight,33
2021,30,Dry,Fine with high winds,Urban,Slight,38
2022,30,Dry,Fine with high winds,Rural,Slight,44
2022,30,Dry,Fine with high winds,Urban,Slight,54
2023,30,Dry,Fine with high winds,Rural,Slight,34
2023,30,Dry,Fine with high winds,Urban,Slight,40
2015,40,Dry,Fine with high winds,Rural,Slight,1
2015,40,Dry,Fine with high winds,Urban,Slight,2
2016,40,Dry,Fine with high winds,Rural,Slight,1
2016,40,Dry,Fine with high winds,Urban,Slight,1
2017,40,Dry,Fine with high winds,Rural,Slight,5
2017,40,Dry,Fine with high winds,Urban,Slight,5
2018,40,Dry,Fine with high winds,Rural,Slight,6
2018,40,Dry,Fine with high winds,Urban,Slight,8
2019,40,Dry,Fine with high winds,Rural,Slight,13
2019,40,Dry,Fine with high winds,Urban,Slight,13
2020,40,Dry,Fine with high winds,Rural,Slight,4
2020,40,Dry,Fine with high winds,Urban,Slight,4
2021,40,Dry,Fine with high winds,Rural,Slight,3
2021,40,Dry,Fine with high winds,Urban,Slight,5
2022,40,Dry,Fine with high winds,Rural,Slight,10
2022,40,Dry,Fine with high winds,Urban,Slight,10
2023,40,Dry,Fine with high winds,Rural,Slight,3
2023,40,Dry,Fine with high winds,Urban,Slight,3
2014,50,Dry,Fine with high winds,Rural,Slight,3
2014,50,Dry,Fine with high winds,Urban,Slight,3
2015,50,Dry,Fine with high winds,Rural,Slight,6
2015,50,Dry,Fine with high winds,Urban,Slight,6
2016,50,Dry,Fine with high winds,Rural,Slight,9
2016,50,Dry,Fine with high winds,Urban,Slight,10
2017,50,Dry,Fine with high winds,Rural,Slight,6
2017,50,Dry,Fine with high winds,Urban,Slight,6
2018,50,Dry,Fine with high winds,Rural,Slight,4
2018,50,Dry,Fine with high winds,Urban,Slight,4
2019,50,Dry,Fine with high winds,Rural,Slight,4
2019,50,Dry,Fine with high winds,Urban,Slight,4
2020,50,Dry,Fine with high winds,Rural,Slight,11
2020,50,Dry,Fine with high winds,Urban,Slight,11
2021,50,Dry,Fine with high winds,Rural,Slight,2
2021,50,Dry,Fine with high winds,Urban,Slight,2
2015,70,Dry,Fine with high winds,Rural,Slight,5
2015,70,Dry,Fine with high winds,Urban,Slight,5
2016,70,Dry,Fine with high winds,Rural,Slight,2
2016,70,Dry,Fine with high winds,Urban,Slight,2
2017,70,Dry,Fine with high winds,Rural,Slight,2
2017,70,Dry,Fine with high winds,Urban,Slight,2
2018,70,Dry,Fine with high winds,Rural,Slight,1
2018,70,Dry,Fine with high winds,Urban,Slight,1
2021,70,Dry,Fine with high winds,Rural,Slight,4
2021,70,Dry,Fine with high winds,Urban,Slight,4
2023,70,Dry,Fine with high winds,Rural,Slight,2
2023,70,Dry,Fine with high winds,Urban,Slight,2
2019,-1,Dry,Fine without high winds,Rural,Slight,28
2019,-1,Dry,Fine without high winds,Urban,Slight,30
2020,-1,Dry,Fine without high winds,Rural,Slight,2
2020,-1,Dry,Fine without high winds,Urban,Slight,2
2015,10,Dry,Fine without high winds,Rural,Slight,2
2015,10,Dry,Fine without high winds,Urban,Slight,2
2014,20,Dry,Fine without high winds,Rural,Slight,80
2014,20,Dry,Fine without high winds,Urban,Slight,179
2015,20,Dry,Fine without high winds,Rural,Slight,249
2015,20,Dry,Fine without high winds,Urban,Slight,396
2016,20,Dry,Fine without high winds,Rural,Slight,950
2016,20,Dry,Fine without high winds,Urban,Slight,1336
2017,20,Dry,Fine without high winds,Rural,Slight,2223
2017,20,Dry,Fine without high winds,Urban,Slight,3148
2018,20,Dry,Fine without high winds,Rural,Slight,2518
2018,20,Dry,Fine without high winds,Urban,Slight,3526
2019,20,Dry,Fine without high winds,Rural,Slight,2786
2019,20,Dry,Fine without high winds,Urban,Slight,3813
2020,20,Dry,Fine without high winds,Rural,Slight,2753
2020,20,Dry,Fine without high winds,Urban,Slight,3776
2021,20,Dry,Fine without high winds,Rural,Slight,3898
2021,20,Dry,Fine without high winds,Urban,Slight,5265
2022,20,Dry,Fine without high winds,Rural,Slight,4360
2022,20,Dry,Fine without high winds,Urban,Slight,5769
2023,20,Dry,Fine without high winds,Rural,Slight,4286
2023,20,Dry,Fine without high winds,Urban,Slight,5681
2014,30,Dry,Fine without high winds,Rural,Slight,11970
2014,30,Dry,Fine without high winds,Urban,Slight,14845
2015,30,Dry,Fine without high winds,Rural,Slight,11184
2015,30,Dry,Fine without high winds,Urban,Slight,13958
2016,30,Dry,Fine without high winds,Rural,Slight,10603
2016,30,Dry,Fine without high winds,Urban,Slight,13087
2017,30,Dry,Fine without high winds,Rural,Slight,9505
2017,30,Dry,Fine without high winds,Urban,Slight,11578
2018,30,Dry,Fine without high winds,Rural,Slight,8540
2018,30,Dry,Fine without high winds,Urban,Slight,10356
2019,30,Dry,Fine without high winds,Rural,Slight,7105
2019,30,Dry,Fine without high winds,Urban,Slight,8546
2020,30,Dry,Fine without high winds,Rural,Slight,5196
2020,30,Dry,Fine without high winds,Urban,Slight,6079
